Date,High,Low,Adj_Close,Change
2007-01-03,275.0,260.0,262.0,0.0
2007-01-04,265.75,258.25,261.25,-0.29
2007-01-05,265.0,259.5,261.75,0.19
2007-01-08,263.0,260.0,260.75,-0.38
2007-01-09,262.0,252.0,252.25,-3.26
2007-01-10,254.0,246.5,250.0,-0.89
2007-01-11,257.75,251.0,256.75,2.7
2007-01-12,276.5,256.5,272.25,6.04
2007-01-16,279.5,268.0,269.0,-1.19
2007-01-17,273.75,268.0,271.0,0.74
2007-01-18,276.75,270.5,272.25,0.46
2007-01-19,272.0,267.5,269.25,-1.1
2007-01-22,268.75,265.5,267.0,-0.84
2007-01-23,270.0,263.5,268.0,0.37
2007-01-24,269.0,261.0,263.25,-1.77
2007-01-25,269.5,263.0,265.75,0.95
2007-01-26,267.75,262.5,262.25,-1.32
2007-01-29,265.0,252.0,258.5,-1.43
2007-01-30,261.0,256.0,259.25,0.29
2007-01-31,265.0,257.25,257.25,-0.77
2007-02-01,261.5,256.75,257.0,-0.1
2007-02-02,259.0,252.0,258.0,0.39
2007-02-05,260.0,255.5,257.75,-0.1
2007-02-06,258.5,253.25,254.0,-1.45
2007-02-07,254.5,249.0,250.0,-1.57
2007-02-08,252.75,248.75,250.0,0.0
2007-02-09,252.0,247.75,250.5,0.2
2007-02-12,254.75,244.25,245.25,-2.1
2007-02-13,248.75,241.5,242.0,-1.33
2007-02-14,246.0,240.25,240.75,-0.52
2007-02-15,244.5,237.0,237.5,-1.35
2007-02-16,243.5,237.25,242.5,2.11
2007-02-20,245.0,240.5,241.5,-0.41
2007-02-21,254.0,241.75,251.0,3.93
2007-02-22,256.5,248.0,257.0,2.39
2007-02-23,257.0,248.0,250.5,-2.53
2007-02-26,261.75,250.5,253.0,1.0
2007-02-27,253.0,245.25,249.25,-1.48
2007-02-28,256.0,249.0,253.0,1.5
2007-03-01,252.0,239.75,245.5,-2.96
2007-03-02,242.5,242.5,243.0,-1.02
2007-03-05,253.75,238.5,248.0,2.06
2007-03-06,260.0,260.0,260.0,4.84
2007-03-07,279.75,268.5,274.0,5.38
2007-03-08,280.0,265.0,276.0,0.73
2007-03-09,280.0,272.0,280.0,1.45
2007-03-12,278.0,278.0,278.0,-0.71
2007-03-13,280.0,280.0,280.0,0.72
2007-03-14,278.0,278.0,280.0,0.0
2007-03-15,276.5,264.5,270.0,-3.57
2007-03-16,277.25,267.25,274.5,1.67
2007-03-19,281.5,275.0,277.0,0.91
2007-03-20,284.75,276.0,283.5,2.35
2007-03-21,287.0,280.25,283.75,0.09
2007-03-22,294.75,280.5,293.75,3.52
2007-03-23,298.0,284.75,291.0,-0.94
2007-03-26,302.0,285.0,289.5,-0.52
2007-03-27,291.0,285.5,289.5,0.0
2007-03-28,293.5,286.5,288.25,-0.43
2007-03-29,292.75,287.0,292.0,1.3
2007-03-30,297.0,277.0,276.5,-5.31
2007-04-02,282.0,263.5,276.5,0.0
2007-04-03,278.75,271.25,273.0,-1.27
2007-04-04,281.5,272.0,276.0,1.1
2007-04-05,278.5,272.25,276.5,0.18
2007-04-09,287.0,277.0,278.0,0.54
2007-04-10,282.5,276.0,278.5,0.18
2007-04-11,280.0,273.5,277.5,-0.36
2007-04-12,276.5,266.25,269.5,-2.88
2007-04-13,270.0,263.5,271.0,0.56
2007-04-16,269.0,264.0,268.75,-0.83
2007-04-17,271.5,266.0,267.0,-0.65
2007-04-18,269.5,264.5,268.25,0.47
2007-04-19,270.0,266.5,268.0,-0.09
2007-04-20,272.5,259.0,258.0,-3.73
2007-04-23,262.0,252.0,254.0,-1.55
2007-04-24,254.25,251.5,252.5,-0.59
2007-04-25,265.75,252.5,262.0,3.76
2007-04-26,267.75,262.0,263.5,0.57
2007-04-27,264.75,262.0,265.0,0.57
2007-04-30,265.0,253.75,261.0,-1.51
2007-05-01,262.5,260.0,262.5,0.57
2007-05-02,262.5,260.0,263.0,0.19
2007-05-03,266.75,266.75,266.0,1.14
2007-05-04,266.0,266.0,266.0,0.0
2007-05-07,264.25,264.25,266.0,0.0
2007-05-08,260.0,250.0,254.75,-4.23
2007-05-09,253.0,251.0,251.0,-1.47
2007-05-10,248.0,248.0,248.0,-1.2
2007-05-11,253.0,253.0,253.0,2.02
2007-05-14,253.0,253.0,253.0,0.0
2007-05-15,259.0,248.25,257.5,1.78
2007-05-16,265.0,257.5,259.5,0.78
2007-05-17,263.0,260.5,261.5,0.77
