Date,High,Low,Adj_Close,Change
2007-01-03,682.5,668.25,669.25,0.0
2007-01-04,674.5,659.75,662.75,-0.97
2007-01-05,667.0,657.75,668.0,0.79
2007-01-08,668.25,662.25,665.0,-0.45
2007-01-09,663.0,650.0,653.5,-1.73
2007-01-10,656.0,645.5,653.75,0.04
2007-01-11,665.5,656.5,664.0,1.57
2007-01-12,707.25,660.0,706.0,6.33
2007-01-16,721.0,705.5,708.5,0.35
2007-01-17,726.75,707.5,722.0,1.91
2007-01-18,732.0,713.5,716.25,-0.8
2007-01-19,723.75,712.5,717.75,0.21
2007-01-22,723.75,708.0,717.25,-0.07
2007-01-23,727.5,716.5,727.25,1.39
2007-01-24,728.75,712.75,715.0,-1.68
2007-01-25,722.0,707.25,713.25,-0.24
2007-01-26,716.0,708.5,710.5,-0.39
2007-01-29,715.5,704.5,709.5,-0.14
2007-01-30,722.0,706.5,721.0,1.62
2007-01-31,729.0,717.25,719.5,-0.21
2007-02-01,729.5,717.5,721.5,0.28
2007-02-02,737.75,718.5,736.75,2.11
2007-02-05,747.5,734.5,740.0,0.44
2007-02-06,746.75,737.0,738.75,-0.17
2007-02-07,748.25,737.0,741.0,0.3
2007-02-08,746.75,737.25,743.75,0.37
2007-02-09,757.0,733.75,749.25,0.74
2007-02-12,752.0,741.0,745.25,-0.53
2007-02-13,755.75,743.25,755.0,1.31
2007-02-14,757.5,748.5,750.5,-0.6
2007-02-15,759.5,751.25,758.75,1.1
2007-02-16,768.5,754.25,767.0,1.09
2007-02-20,772.25,762.5,771.0,0.52
2007-02-21,788.25,764.75,781.25,1.33
2007-02-22,791.0,779.75,783.75,0.32
2007-02-23,786.75,775.25,778.25,-0.7
2007-02-26,789.75,777.0,778.75,0.06
2007-02-27,779.5,756.0,763.5,-1.96
2007-02-28,773.5,757.25,773.25,1.28
2007-03-01,773.5,740.0,746.25,-3.49
2007-03-02,748.0,735.75,739.0,-0.97
2007-03-05,736.5,724.5,735.75,-0.44
2007-03-06,739.0,732.0,733.0,-0.37
2007-03-07,748.25,731.5,742.75,1.33
2007-03-08,749.0,744.0,745.0,0.3
2007-03-09,746.0,738.75,746.5,0.2
2007-03-12,755.5,744.75,752.25,0.77
2007-03-13,757.5,743.0,744.0,-1.1
2007-03-14,741.5,735.5,736.5,-1.01
2007-03-15,759.0,748.75,750.5,1.9
2007-03-16,758.5,744.75,753.5,0.4
2007-03-19,760.25,749.5,759.5,0.8
2007-03-20,765.25,756.75,764.75,0.69
2007-03-21,772.0,764.25,766.5,0.23
2007-03-22,772.0,763.5,771.75,0.68
2007-03-23,774.75,769.0,769.5,-0.29
2007-03-26,769.0,752.0,758.5,-1.43
2007-03-27,761.75,754.75,757.0,-0.2
2007-03-28,772.25,756.5,770.75,1.82
2007-03-29,779.0,767.25,778.25,0.97
2007-03-30,779.0,742.0,761.25,-2.18
2007-04-02,786.5,751.25,779.0,2.33
2007-04-03,782.75,760.75,763.75,-1.96
2007-04-04,772.75,760.25,761.0,-0.36
2007-04-05,765.5,758.25,760.5,-0.07
2007-04-09,775.0,748.5,749.0,-1.51
2007-04-10,753.0,740.25,742.5,-0.87
2007-04-11,750.0,741.5,746.5,0.54
2007-04-12,746.75,732.0,738.25,-1.11
2007-04-13,746.0,732.75,738.0,-0.03
2007-04-16,742.25,730.25,736.0,-0.27
2007-04-17,737.75,722.5,724.0,-1.63
2007-04-18,724.0,713.5,715.5,-1.17
2007-04-19,724.0,714.5,718.25,0.38
2007-04-20,724.75,714.5,723.25,0.7
2007-04-23,725.25,716.25,721.25,-0.28
2007-04-24,721.25,709.25,709.75,-1.59
2007-04-25,733.0,708.5,721.5,1.66
2007-04-26,726.5,717.0,718.25,-0.45
2007-04-27,726.5,717.25,723.0,0.66
2007-04-30,735.25,717.5,728.5,0.76
2007-05-01,743.75,724.5,741.25,1.75
2007-05-02,744.25,732.5,734.25,-0.94
2007-05-03,743.25,730.5,733.75,-0.07
2007-05-04,738.75,730.0,733.5,-0.03
2007-05-07,736.0,725.0,729.0,-0.61
2007-05-08,730.0,722.0,726.0,-0.41
2007-05-09,735.0,730.25,733.75,1.07
2007-05-10,734.0,732.0,733.0,-0.1
2007-05-11,752.5,733.0,750.0,2.32
2007-05-14,760.5,753.0,762.25,1.63
2007-05-15,781.5,765.5,778.0,2.07
2007-05-16,796.5,777.25,792.75,1.9
2007-05-17,796.75,786.5,792.75,0.0
2007-05-18,796.75,790.25,792.5,-0.03
2007-05-21,803.0,787.5,800.5,1.01
2007-05-22,802.0,791.25,793.25,-0.91
2007-05-23,803.0,788.0,800.5,0.91
2007-05-24,809.25,800.25,805.25,0.59
2007-05-25,814.25,803.5,812.5,0.9
2007-05-29,813.75,796.75,797.5,-1.85
2007-05-30,810.75,791.75,808.25,1.35
2007-05-31,815.75,799.0,806.25,-0.25
2007-06-01,819.5,805.0,817.5,1.4
2007-06-04,823.0,813.5,815.75,-0.21
2007-06-05,830.0,816.75,828.25,1.53
2007-06-06,834.5,816.0,822.25,-0.72
2007-06-07,833.0,818.75,832.0,1.19
2007-06-08,835.75,806.75,821.5,-1.26
2007-06-11,848.75,822.25,830.0,1.03
2007-06-12,832.5,822.75,826.5,-0.42
2007-06-13,828.75,815.0,825.75,-0.09
2007-06-14,837.75,823.25,827.5,0.21
2007-06-15,848.0,827.0,847.25,2.39
2007-06-18,863.0,845.5,855.25,0.94
2007-06-19,856.5,826.75,829.0,-3.07
2007-06-20,852.0,828.5,839.0,1.21
2007-06-21,847.75,813.25,818.5,-2.44
2007-06-22,821.75,791.75,797.0,-2.63
2007-06-25,805.5,793.75,804.25,0.91
2007-06-26,811.75,798.75,807.0,0.34
2007-06-27,811.0,794.75,803.5,-0.43
2007-06-28,811.5,800.75,809.75,0.78
2007-06-29,878.5,807.75,850.0,4.97
2007-07-02,871.25,850.0,865.0,1.76
2007-07-03,866.5,849.25,850.5,-1.68
2007-07-05,862.5,850.0,854.5,0.47
2007-07-06,866.0,857.25,864.75,1.2
2007-07-09,872.75,855.0,870.0,0.61
2007-07-10,887.75,865.0,889.0,2.18
2007-07-11,896.0,885.5,891.0,0.22
2007-07-12,909.75,894.0,910.0,2.13
2007-07-13,909.25,900.0,913.0,0.33
2007-07-16,908.0,871.75,871.75,-4.52
2007-07-17,874.0,828.5,833.75,-4.36
2007-07-18,852.5,835.0,851.25,2.1
2007-07-19,862.25,837.0,856.0,0.56
2007-07-20,867.5,843.25,850.25,-0.67
2007-07-23,843.75,809.25,816.25,-4.0
2007-07-24,828.0,813.5,820.25,0.49
2007-07-25,824.75,814.0,815.0,-0.64
2007-07-26,830.75,808.75,821.5,0.8
2007-07-27,824.0,811.75,815.5,-0.73
2007-07-30,825.0,815.5,822.75,0.89
2007-07-31,838.0,823.5,834.0,1.37
2007-08-01,842.75,823.5,825.75,-0.99
2007-08-02,835.5,826.75,831.0,0.64
2007-08-03,841.25,833.0,839.0,0.96
2007-08-06,828.5,817.0,826.0,-1.55
2007-08-07,839.5,824.0,838.5,1.51
2007-08-08,854.5,838.0,855.0,1.97
2007-08-09,857.0,848.75,858.0,0.35
2007-08-10,854.25,840.75,850.0,-0.93
2007-08-13,865.75,859.0,861.0,1.29
2007-08-14,860.0,845.5,850.0,-1.28
2007-08-15,855.0,835.75,839.0,-1.29
2007-08-16,838.25,789.0,799.25,-4.74
2007-08-17,814.0,798.25,811.5,1.53
2007-08-20,813.5,804.0,811.75,0.03
2007-08-21,824.25,811.5,815.75,0.49
2007-08-22,834.5,815.75,831.25,1.9
2007-08-23,852.0,831.0,842.0,1.29
2007-08-24,850.5,838.5,849.0,0.83
2007-08-27,857.25,837.25,856.5,0.88
2007-08-28,860.0,848.25,855.25,-0.15
2007-08-29,861.75,848.75,858.5,0.38
2007-08-30,878.0,856.0,870.5,1.4
2007-08-31,880.5,867.0,868.0,-0.29
2007-09-04,899.25,875.25,892.5,2.82
2007-09-05,899.5,885.0,889.0,-0.39
2007-09-06,887.5,874.75,878.0,-1.24
2007-09-07,892.75,872.5,891.0,1.48
2007-09-10,902.25,890.75,903.5,1.4
2007-09-11,902.0,899.75,905.0,0.17
2007-09-12,939.25,906.0,925.0,2.21
2007-09-13,928.25,923.0,928.0,0.32
2007-09-14,943.0,931.25,941.0,1.4
2007-09-17,974.75,960.0,968.5,2.92
2007-09-18,977.75,960.25,969.5,0.1
2007-09-19,977.0,952.75,971.0,0.15
2007-09-20,996.75,967.5,988.5,1.8
2007-09-21,993.0,978.25,979.0,-0.96
2007-09-24,987.0,971.0,978.75,-0.03
2007-09-25,982.75,970.0,973.0,-0.59
2007-09-26,992.25,970.5,990.75,1.82
2007-09-27,1017.75,991.0,1009.0,1.84
2007-09-28,1012.0,985.5,991.25,-1.76
2007-10-01,999.25,985.5,991.5,0.03
2007-10-02,994.0,941.5,943.75,-4.82
2007-10-03,957.5,931.0,951.0,0.77
2007-10-04,958.5,946.0,954.25,0.34
2007-10-05,958.0,937.25,940.5,-1.44
2007-10-08,939.25,922.75,925.5,-1.59
2007-10-09,952.75,922.0,950.25,2.67
2007-10-10,970.0,951.5,968.25,1.89
2007-10-11,984.25,963.0,981.5,1.37
2007-10-12,993.25,973.25,976.75,-0.48
2007-10-15,992.25,972.5,987.0,1.05
2007-10-16,994.0,974.25,977.5,-0.96
2007-10-17,988.0,967.5,974.25,-0.33
2007-10-18,996.75,973.0,991.5,1.77
2007-10-19,994.0,975.5,983.25,-0.83
2007-10-22,984.5,961.0,976.5,-0.69
2007-10-23,988.0,976.25,981.75,0.54
2007-10-24,987.0,974.0,976.25,-0.56
2007-10-25,996.75,975.0,994.75,1.9
2007-10-26,1007.0,992.5,995.5,0.08
2007-10-29,1013.75,996.0,1011.0,1.56
2007-10-30,1010.25,990.5,992.0,-1.88
2007-10-31,1016.5,987.75,1010.0,1.81
2007-11-01,1018.5,964.25,990.75,-1.91
2007-11-02,1010.0,988.25,1001.75,1.11
2007-11-05,1009.0,993.25,1005.75,0.4
2007-11-06,1036.5,1004.0,1029.5,2.36
2007-11-07,1038.0,1015.25,1023.75,-0.56
2007-11-08,1033.25,1020.0,1028.0,0.42
2007-11-09,1043.0,1019.75,1043.0,1.46
2007-11-12,1037.5,1021.0,1032.75,-0.98
2007-11-13,1046.75,1031.5,1044.25,1.11
2007-11-14,1068.25,1043.5,1066.0,2.08
2007-11-15,1083.25,1070.5,1078.75,1.2
2007-11-16,1087.5,1076.25,1077.75,-0.09
2007-11-19,1090.0,1069.5,1070.5,-0.67
2007-11-20,1088.25,1053.0,1087.0,1.54
2007-11-21,1089.5,1078.0,1084.0,-0.28
2007-11-23,1103.25,1082.5,1100.25,1.5
2007-11-26,1114.0,1092.0,1103.75,0.32
