Date,High,Low,Adj_Close,Change
2007-01-02,506.5,502.25,509.75,0.0
2007-01-03,503.0,484.5,486.75,-4.51
2007-01-04,493.0,477.25,477.25,-1.95
2007-01-05,482.75,474.5,481.25,0.84
2007-01-08,481.5,475.75,479.0,-0.47
2007-01-09,478.5,470.75,471.5,-1.57
2007-01-10,473.75,467.5,472.25,0.16
2007-01-11,484.5,472.25,481.25,1.91
2007-01-12,511.25,481.25,505.25,4.99
2007-01-16,509.0,488.25,492.0,-2.62
2007-01-17,502.5,490.0,498.0,1.22
2007-01-18,507.0,489.5,495.0,-0.6
2007-01-19,495.0,486.75,489.25,-1.16
2007-01-22,492.5,485.5,487.0,-0.46
2007-01-23,500.5,485.75,500.75,2.82
2007-01-24,501.0,487.0,486.75,-2.8
2007-01-25,493.5,483.5,494.0,1.49
2007-01-26,493.0,485.5,488.0,-1.21
2007-01-29,489.75,478.0,478.25,-2.0
2007-01-30,482.0,474.25,481.75,0.73
2007-01-31,490.75,478.25,488.75,1.45
2007-02-01,494.0,484.25,487.5,-0.26
2007-02-02,488.25,481.25,487.0,-0.1
2007-02-05,489.5,483.5,485.25,-0.36
2007-02-06,486.75,477.0,476.5,-1.8
2007-02-07,478.75,474.75,476.5,0.0
2007-02-08,487.0,477.75,483.75,1.52
2007-02-09,494.75,482.25,485.0,0.26
2007-02-12,488.0,480.5,481.75,-0.67
2007-02-13,487.75,481.0,487.5,1.19
2007-02-14,488.5,475.5,477.25,-2.1
2007-02-15,490.0,477.5,486.25,1.89
2007-02-16,499.0,484.0,495.5,1.9
2007-02-20,497.25,486.5,493.0,-0.5
2007-02-21,503.75,492.0,501.75,1.77
2007-02-22,512.25,501.75,511.5,1.94
2007-02-23,511.5,506.5,506.5,-0.98
2007-02-26,515.0,504.0,507.75,0.25
2007-02-27,506.0,483.5,497.5,-2.02
2007-02-28,503.0,496.0,516.0,3.72
2007-03-01,512.0,505.0,506.0,-1.94
2007-03-02,507.0,503.5,505.0,-0.2
2007-03-05,510.25,510.25,510.25,1.04
2007-03-06,510.5,510.5,501.0,-1.81
2007-03-07,506.0,506.0,506.0,1.0
2007-03-08,504.5,504.5,504.5,-0.3
2007-03-09,504.5,504.0,506.5,0.4
2007-03-12,502.0,502.0,502.0,-0.89
2007-03-13,500.0,500.0,500.0,-0.4
2007-03-14,503.0,503.0,495.25,-0.95
2007-03-15,491.0,478.0,479.75,-3.13
2007-03-16,488.0,477.0,486.5,1.41
2007-03-19,488.5,476.0,479.0,-1.54
2007-03-20,484.5,477.0,483.5,0.94
2007-03-21,489.0,481.5,486.75,0.67
2007-03-22,489.25,482.0,487.0,0.05
2007-03-23,488.5,483.25,484.75,-0.46
2007-03-26,485.5,473.5,477.0,-1.6
2007-03-27,479.0,468.25,470.25,-1.42
2007-03-28,473.75,468.75,470.5,0.05
2007-03-29,478.0,465.25,472.25,0.37
2007-03-30,475.0,442.25,456.5,-3.34
2007-04-02,455.0,433.5,445.5,-2.41
2007-04-03,449.5,440.25,442.25,-0.73
2007-04-04,457.75,441.0,455.0,2.88
