Date,High,Low,Adj Close,Change
2007-01-02,5664.2998046875,5645.0,5645.89990234375,0.0
2007-01-03,5671.10009765625,5621.39990234375,5626.7998046875,-0.34
2007-01-04,5614.5,5563.89990234375,5563.89990234375,-1.12
2007-01-05,5587.7998046875,5543.7001953125,5549.7998046875,-0.25
2007-01-08,5541.2001953125,5482.10009765625,5484.5,-1.18
2007-01-09,5565.0,5497.2998046875,5564.10009765625,1.45
2007-01-10,5558.60009765625,5502.10009765625,5502.10009765625,-1.11
2007-01-11,5550.60009765625,5509.60009765625,5542.7001953125,0.74
2007-01-12,5611.89990234375,5554.7001953125,5611.89990234375,1.25
2007-01-15,5649.0,5610.60009765625,5649.0,0.66
2007-01-16,5678.7001953125,5642.2001953125,5650.39990234375,0.02
2007-01-17,5648.10009765625,5624.39990234375,5626.10009765625,-0.43
2007-01-18,5657.39990234375,5631.7998046875,5650.7998046875,0.44
2007-01-19,5652.10009765625,5622.5,5652.10009765625,0.02
2007-01-22,5715.5,5665.89990234375,5704.0,0.92
2007-01-23,5716.10009765625,5682.89990234375,5714.10009765625,0.18
2007-01-24,5755.89990234375,5724.7998046875,5749.10009765625,0.61
2007-01-25,5782.89990234375,5753.2998046875,5753.2998046875,0.07
2007-01-29,5760.2998046875,5737.7998046875,5744.0,-0.16
2007-01-30,5792.39990234375,5740.7998046875,5791.5,0.83
2007-01-31,5808.2001953125,5757.7001953125,5757.7001953125,-0.58
2007-02-01,5799.10009765625,5765.7001953125,5796.7998046875,0.68
2007-02-02,5821.2998046875,5800.0,5814.39990234375,0.3
2007-02-05,5811.5,5786.5,5805.10009765625,-0.16
2007-02-06,5849.2998046875,5811.60009765625,5848.5,0.75
2007-02-07,5880.10009765625,5854.2001953125,5870.89990234375,0.38
2007-02-08,5880.5,5857.5,5872.89990234375,0.03
2007-02-09,5899.2998046875,5869.7998046875,5899.2998046875,0.45
2007-02-12,5905.2998046875,5878.2001953125,5895.0,-0.07
2007-02-13,5916.2998046875,5884.7998046875,5907.2998046875,0.21
2007-02-14,5948.39990234375,5916.89990234375,5937.7001953125,0.51
2007-02-15,5976.10009765625,5945.7001953125,5969.10009765625,0.53
2007-02-16,5970.60009765625,5923.0,5935.5,-0.56
2007-02-19,5981.7998046875,5933.2998046875,5969.2998046875,0.57
2007-02-20,5981.2998046875,5959.0,5969.39990234375,0.0
2007-02-21,5970.5,5932.2998046875,5933.2998046875,-0.6
2007-02-22,5991.10009765625,5933.89990234375,5991.10009765625,0.97
2007-02-23,6024.7001953125,5992.7998046875,6009.2998046875,0.3
2007-02-26,6021.89990234375,5986.7001953125,6021.89990234375,0.21
2007-02-27,6021.60009765625,5977.60009765625,5977.60009765625,-0.74
2007-02-28,5975.39990234375,5765.0,5816.5,-2.7
2007-03-01,5844.89990234375,5787.60009765625,5798.2998046875,-0.31
2007-03-02,5810.7001953125,5769.60009765625,5775.2001953125,-0.4
2007-03-05,5761.89990234375,5642.39990234375,5642.39990234375,-2.3
2007-03-06,5749.89990234375,5626.89990234375,5749.89990234375,1.91
2007-03-07,5808.5,5755.7001953125,5803.2998046875,0.93
2007-03-08,5803.89990234375,5757.2001953125,5799.60009765625,-0.06
