Date,High,Low,Adj Close,Change
2007-01-02,20323.58984375,19990.279296875,20310.1796875,0.0
2007-01-03,20554.580078125,20249.609375,20413.390625,0.51
2007-01-04,20463.1796875,19948.01953125,20025.580078125,-1.9
2007-01-05,20213.640625,19757.240234375,20211.279296875,0.93
2007-01-08,20085.580078125,19844.310546875,20029.66015625,-0.9
2007-01-09,20173.060546875,19794.2890625,19898.080078125,-0.66
2007-01-10,19693.69921875,19507.970703125,19568.33984375,-1.66
2007-01-11,19697.580078125,19350.5,19385.369140625,-0.94
2007-01-12,19680.630859375,19523.759765625,19613.41015625,1.18
2007-01-15,20073.2890625,19746.0703125,20068.560546875,2.32
2007-01-16,20133.490234375,19938.19921875,20027.94921875,-0.2
2007-01-17,20122.4296875,19841.16015625,20064.5703125,0.18
2007-01-18,20297.41015625,20002.76953125,20277.509765625,1.06
2007-01-19,20337.9296875,20189.359375,20327.720703125,0.25
2007-01-22,20779.51953125,20487.599609375,20772.220703125,2.19
2007-01-23,20810.7890625,20589.419921875,20769.69921875,-0.01
2007-01-24,20971.4609375,20725.48046875,20821.05078125,0.25
2007-01-25,20897.55078125,20610.220703125,20669.830078125,-0.73
2007-01-26,20457.48046875,20204.669921875,20281.130859375,-1.88
2007-01-29,20366.7109375,20197.599609375,20236.6796875,-0.22
2007-01-30,20465.4609375,20165.220703125,20460.4609375,1.11
2007-01-31,20507.6796875,20008.599609375,20106.419921875,-1.73
2007-02-01,20496.810546875,20176.619140625,20430.16015625,1.61
2007-02-02,20704.099609375,20468.83984375,20563.6796875,0.65
2007-02-05,20645.8203125,20409.16015625,20455.619140625,-0.53
2007-02-06,20712.3203125,20438.359375,20655.19921875,0.98
2007-02-07,20739.009765625,20598.029296875,20679.689453125,0.12
2007-02-08,20763.5703125,20318.990234375,20735.05078125,0.27
2007-02-09,20771.08984375,20593.759765625,20677.66015625,-0.28
2007-02-12,20696.650390625,20488.8203125,20593.41015625,-0.41
2007-02-13,20523.91015625,20127.119140625,20132.25,-2.24
2007-02-14,20330.369140625,20184.689453125,20209.91015625,0.39
2007-02-15,20570.140625,20398.44921875,20538.419921875,1.63
2007-02-16,20588.1796875,20458.009765625,20567.91015625,0.14
2007-02-21,20677.2890625,20540.3203125,20651.419921875,0.41
2007-02-22,20829.66015625,20740.330078125,20809.23046875,0.76
2007-02-23,20844.25,20547.439453125,20711.650390625,-0.47
2007-02-26,20581.419921875,20474.41015625,20507.94921875,-0.98
2007-02-27,20500.880859375,20042.30078125,20147.869140625,-1.76
2007-02-28,19749.58984375,19381.880859375,19651.509765625,-2.46
2007-03-01,19643.41015625,19346.599609375,19346.599609375,-1.55
2007-03-02,19560.51953125,19355.630859375,19442.009765625,0.49
2007-03-05,19164.349609375,18659.23046875,18664.880859375,-4.0
2007-03-06,19080.33984375,18876.619140625,19058.560546875,2.11
2007-03-07,19239.919921875,18910.240234375,18918.640625,-0.73
2007-03-08,19191.099609375,18909.0703125,19175.169921875,1.36
2007-03-09,19259.099609375,19065.029296875,19134.880859375,-0.21
2007-03-12,19470.369140625,19220.509765625,19442.419921875,1.61
2007-03-13,19442.51953125,19251.19921875,19333.140625,-0.56
2007-03-14,18888.400390625,18738.509765625,18836.9296875,-2.57
2007-03-15,19054.939453125,18932.4609375,18969.439453125,0.7
2007-03-16,19130.099609375,18770.279296875,18953.5,-0.08
2007-03-19,19267.830078125,18967.41015625,19266.740234375,1.65
2007-03-20,19463.900390625,19332.599609375,19356.900390625,0.47
2007-03-21,19537.08984375,19270.720703125,19516.41015625,0.82
2007-03-22,19813.2109375,19621.259765625,19690.25,0.89
2007-03-23,19729.490234375,19634.109375,19692.640625,0.01
2007-03-26,19819.0390625,19653.73046875,19765.849609375,0.37
2007-03-27,19768.3203125,19661.859375,19706.7890625,-0.3
2007-03-28,19729.310546875,19459.189453125,19553.869140625,-0.78
2007-03-29,19832.140625,19460.359375,19821.779296875,1.37
2007-03-30,19880.259765625,19705.560546875,19800.9296875,-0.11
2007-04-02,19976.810546875,19672.939453125,19809.69921875,0.04
2007-04-03,20021.029296875,19903.890625,20002.69921875,0.97
2007-04-04,20210.83984375,20099.849609375,20209.7109375,1.03
2007-04-10,20416.5390625,20248.0390625,20347.869140625,0.68
2007-04-11,20502.169921875,20278.83984375,20449.4296875,0.5
2007-04-12,20428.599609375,20293.330078125,20380.2109375,-0.34
2007-04-13,20432.009765625,20264.990234375,20340.970703125,-0.19
2007-04-16,20765.400390625,20489.91015625,20757.529296875,2.05
2007-04-17,20816.109375,20635.630859375,20788.609375,0.15
2007-04-18,20868.0703125,20718.720703125,20777.08984375,-0.06
2007-04-19,20634.900390625,20232.810546875,20299.7109375,-2.3
2007-04-20,20567.33984375,20474.310546875,20566.58984375,1.31
2007-04-23,20757.41015625,20529.0703125,20556.5703125,-0.05
2007-04-24,20618.009765625,20396.369140625,20572.80078125,0.08
2007-04-25,20621.6796875,20417.58984375,20536.779296875,-0.18
2007-04-26,20778.439453125,20651.2890625,20667.2890625,0.64
2007-04-27,20619.109375,20425.5703125,20526.5,-0.68
2007-04-30,20525.9609375,20130.109375,20318.98046875,-1.01
2007-05-02,20483.240234375,20351.259765625,20388.490234375,0.34
2007-05-03,20739.029296875,20555.5703125,20681.580078125,1.44
2007-05-04,20883.2109375,20714.8203125,20841.080078125,0.77
2007-05-07,21070.2109375,20891.060546875,20896.640625,0.27
