Date,High,Low,Adj Close,Change
2007-01-02,45388.0,44476.0,45383.0,0.0
2007-01-03,45379.0,44284.0,44445.0,-2.07
2007-01-04,44442.0,43623.0,44020.0,-0.96
2007-01-05,44081.0,42160.0,42245.0,-4.03
2007-01-08,42926.0,42144.0,42830.0,1.38
2007-01-09,43001.0,41438.0,42007.0,-1.92
2007-01-10,42336.0,41266.0,42336.0,0.78
2007-01-11,43128.0,41940.0,42670.0,0.79
2007-01-12,43188.0,42526.0,43095.0,1.0
2007-01-15,43473.0,42875.0,42919.0,-0.41
2007-01-16,42916.0,42415.0,42624.0,-0.69
2007-01-17,42930.0,42252.0,42735.0,0.26
2007-01-18,43402.0,42407.0,42478.0,-0.6
2007-01-19,43428.0,42477.0,43428.0,2.24
2007-01-22,43879.0,43183.0,43553.0,0.29
2007-01-23,44243.0,43432.0,44177.0,1.43
2007-01-24,44808.0,44041.0,44687.0,1.15
2007-01-26,44687.0,43870.0,44412.0,-0.62
2007-01-29,44435.0,43555.0,43573.0,-1.89
2007-01-30,44065.0,43508.0,44044.0,1.08
2007-01-31,44643.0,43824.0,44642.0,1.36
2007-02-01,45212.0,44642.0,44815.0,0.39
2007-02-02,45204.0,44597.0,44998.0,0.41
2007-02-05,45286.0,44851.0,45286.0,0.64
2007-02-06,45486.0,45038.0,45352.0,0.15
2007-02-07,45425.0,44488.0,44588.0,-1.68
2007-02-08,44892.0,44070.0,44892.0,0.68
2007-02-09,45050.0,44180.0,44284.0,-1.35
2007-02-12,44464.0,43850.0,43935.0,-0.79
2007-02-13,45197.0,43932.0,45197.0,2.87
2007-02-14,46106.0,45198.0,45996.0,1.77
2007-02-15,46178.0,45734.0,45955.0,-0.09
2007-02-16,45966.0,45614.0,45849.0,-0.23
2007-02-21,46095.0,45558.0,46090.0,0.53
2007-02-22,46752.0,46097.0,46452.0,0.79
2007-02-23,46517.0,45813.0,46016.0,-0.94
2007-02-26,46450.0,45885.0,46207.0,0.42
2007-02-27,46190.0,42571.0,43145.0,-6.63
2007-02-28,43923.0,43122.0,43892.0,1.73
2007-03-01,43886.0,42037.0,43517.0,-0.85
2007-03-02,43518.0,42297.0,42370.0,-2.64
2007-03-05,42370.0,41117.0,41179.0,-2.81
2007-03-06,43218.0,41192.0,43218.0,4.95
2007-03-07,43396.0,42660.0,42667.0,-1.27
2007-03-08,43726.0,42672.0,43466.0,1.87
2007-03-09,44173.0,43466.0,44133.0,1.53
2007-03-12,44406.0,43845.0,44249.0,0.26
2007-03-13,44249.0,42724.0,42749.0,-3.39
2007-03-14,43290.0,42051.0,43288.0,1.26
2007-03-15,43573.0,42951.0,43278.0,-0.02
2007-03-16,43568.0,42598.0,42730.0,-1.27
2007-03-19,43714.0,42734.0,43713.0,2.3
2007-03-20,44353.0,43679.0,44351.0,1.46
2007-03-21,45631.0,44350.0,45631.0,2.89
2007-03-22,45950.0,45272.0,45424.0,-0.45
2007-03-23,45759.0,45168.0,45533.0,0.24
2007-03-26,45712.0,44965.0,45645.0,0.25
2007-03-27,45646.0,45143.0,45207.0,-0.96
2007-03-28,45204.0,44315.0,44484.0,-1.6
2007-03-29,45570.0,44493.0,45355.0,1.96
2007-03-30,45805.0,45138.0,45805.0,0.99
2007-04-02,45805.0,45225.0,45597.0,-0.45
2007-04-03,46481.0,45601.0,46288.0,1.52
2007-04-04,46692.0,46113.0,46554.0,0.57
2007-04-05,46767.0,46418.0,46647.0,0.2
2007-04-09,47239.0,46650.0,46855.0,0.45
2007-04-10,47234.0,46822.0,47174.0,0.68
2007-04-11,47573.0,46680.0,46939.0,-0.5
2007-04-12,47389.0,46506.0,47347.0,0.87
2007-04-13,47968.0,47267.0,47926.0,1.22
2007-04-16,49022.0,47925.0,48921.0,2.08
2007-04-17,49156.0,48631.0,48755.0,-0.34
2007-04-18,49339.0,48456.0,48710.0,-0.09
2007-04-19,48837.0,47917.0,48762.0,0.11
2007-04-20,49459.0,48763.0,49408.0,1.32
2007-04-23,49477.0,49097.0,49162.0,-0.5
2007-04-24,49259.0,48602.0,49071.0,-0.19
2007-04-25,49816.0,49072.0,49676.0,1.23
2007-04-26,49856.0,49060.0,49068.0,-1.22
2007-04-27,49232.0,48311.0,49230.0,0.33
2007-04-30,49482.0,48744.0,48956.0,-0.56
2007-05-02,49630.0,48953.0,49472.0,1.05
2007-05-03,50318.0,49472.0,50218.0,1.51
2007-05-04,50898.0,50218.0,50598.0,0.76
2007-05-07,50618.0,50154.0,50282.0,-0.62
2007-05-08,50369.0,49526.0,50278.0,-0.01
2007-05-09,51369.0,50149.0,51300.0,2.03
2007-05-10,51298.0,50205.0,50235.0,-2.08
2007-05-11,51083.0,50235.0,50902.0,1.33
2007-05-14,51066.0,50298.0,50511.0,-0.77
2007-05-15,51042.0,50370.0,50518.0,0.01
2007-05-16,51738.0,50518.0,51738.0,2.41
2007-05-17,51959.0,51374.0,51631.0,-0.21
2007-05-18,52088.0,51499.0,52078.0,0.87
2007-05-21,52691.0,52078.0,52423.0,0.66
2007-05-22,52561.0,52039.0,52208.0,-0.41
2007-05-23,52505.0,51670.0,51813.0,-0.76
2007-05-24,51891.0,50214.0,50531.0,-2.47
2007-05-25,51633.0,50541.0,51618.0,2.15
2007-05-28,52209.0,51616.0,52120.0,0.97
2007-05-29,52545.0,51271.0,51713.0,-0.78
2007-05-30,52595.0,50607.0,52528.0,1.58
2007-05-31,52877.0,52098.0,52268.0,-0.49
2007-06-01,53423.0,52271.0,53423.0,2.21
2007-06-04,53423.0,52651.0,53243.0,-0.34
2007-06-05,53271.0,52673.0,53162.0,-0.15
2007-06-06,53162.0,51869.0,52049.0,-2.09
2007-06-08,52500.0,50885.0,52330.0,0.54
2007-06-11,52952.0,52184.0,52777.0,0.85
2007-06-12,52776.0,51643.0,51797.0,-1.86
