Date,High,Low,Adj Close,Change
2007-01-02,26666.919921875,26448.3203125,26664.44921875,0.0
2007-01-03,26699.099609375,26319.5,26619.369140625,-0.17
2007-01-04,26623.060546875,26335.419921875,26566.279296875,-0.2
2007-01-05,26566.279296875,26112.76953125,26135.599609375,-1.62
2007-01-08,26282.390625,26071.66015625,26281.640625,0.56
2007-01-09,26342.470703125,25627.9296875,25783.0390625,-1.9
2007-01-10,25954.130859375,25400.330078125,25885.80078125,0.4
2007-01-11,26290.69921875,25851.150390625,26247.900390625,1.4
2007-01-12,26335.2890625,26091.359375,26324.380859375,0.29
2007-01-15,26484.060546875,26313.01953125,26480.029296875,0.59
2007-01-16,26487.169921875,26333.560546875,26480.330078125,0.0
2007-01-17,26610.609375,26381.939453125,26558.5,0.3
2007-01-18,26594.599609375,26112.80078125,26112.869140625,-1.68
2007-01-19,26304.509765625,25939.439453125,26213.380859375,0.38
2007-01-22,26432.25,26042.060546875,26432.25,0.83
2007-01-23,26811.119140625,26419.220703125,26810.0,1.43
2007-01-24,27338.369140625,26813.689453125,27338.30078125,1.97
2007-01-25,27453.919921875,26793.69921875,26899.33984375,-1.61
2007-01-26,27049.720703125,26595.69921875,27045.7109375,0.54
2007-01-29,27036.859375,26721.5,26834.05078125,-0.78
2007-01-30,27154.1796875,26823.619140625,27135.369140625,1.12
2007-01-31,27621.98046875,27074.0,27561.490234375,1.57
2007-02-01,27945.30078125,27561.490234375,27842.759765625,1.02
2007-02-02,28005.94921875,27818.0390625,27933.0703125,0.32
2007-02-07,28293.439453125,28012.259765625,28123.759765625,0.68
2007-02-08,28291.490234375,27921.279296875,28197.259765625,0.26
2007-02-09,28346.009765625,27862.630859375,27906.890625,-1.03
2007-02-12,27975.73046875,27624.970703125,27972.23046875,0.23
2007-02-13,28278.970703125,27866.4296875,28262.650390625,1.04
2007-02-14,28678.310546875,28256.41015625,28539.689453125,0.98
2007-02-15,28619.23046875,28388.849609375,28498.75,-0.14
2007-02-16,28525.990234375,28301.3203125,28491.0703125,-0.03
2007-02-19,28601.23046875,28491.0703125,28590.169921875,0.35
2007-02-20,28646.16015625,28355.919921875,28589.66015625,-0.0
2007-02-21,28715.9609375,28425.650390625,28715.9609375,0.44
2007-02-22,28940.109375,28505.580078125,28676.48046875,-0.14
2007-02-23,28691.4609375,28353.48046875,28505.720703125,-0.6
2007-02-26,28639.130859375,28029.1796875,28046.16015625,-1.61
2007-02-27,28040.66015625,26418.8203125,26418.8203125,-5.8
2007-02-28,26804.7890625,26320.259765625,26638.94921875,0.83
2007-03-01,26689.80078125,25691.580078125,26647.650390625,0.03
2007-03-02,26801.48046875,26320.970703125,26321.119140625,-1.23
2007-03-05,26352.849609375,25780.580078125,25788.369140625,-2.02
2007-03-06,26432.390625,25806.26953125,26355.640625,2.2
2007-03-07,26566.279296875,26184.390625,26184.390625,-0.65
2007-03-08,26776.19921875,26207.5,26773.7890625,2.25
2007-03-09,27118.05078125,26752.630859375,27106.529296875,1.24
2007-03-12,27261.279296875,26927.310546875,27261.169921875,0.57
2007-03-13,27259.55078125,26568.630859375,26589.19921875,-2.46
2007-03-14,26745.3203125,26295.330078125,26719.3203125,0.49
2007-03-15,26998.509765625,26685.029296875,26883.529296875,0.61
2007-03-16,26944.970703125,26657.08984375,26901.419921875,0.07
2007-03-20,27409.740234375,26901.419921875,27407.4609375,1.88
2007-03-21,28229.73046875,27408.720703125,28219.55078125,2.96
2007-03-22,28390.73046875,28134.76953125,28258.80078125,0.14
2007-03-23,28391.51953125,28212.69921875,28272.029296875,0.05
2007-03-26,28325.509765625,28020.619140625,28158.970703125,-0.4
2007-03-27,28164.41015625,27853.66015625,28124.330078125,-0.12
2007-03-28,28161.33984375,27811.0390625,28098.279296875,-0.09
2007-03-29,28704.240234375,28099.470703125,28704.240234375,2.16
2007-03-30,28756.470703125,28487.58984375,28747.689453125,0.15
2007-04-02,29268.400390625,28746.75,29171.51953125,1.47
2007-04-03,29516.609375,29171.51953125,29348.08984375,0.61
2007-04-04,29427.609375,29203.05078125,29370.939453125,0.08
2007-04-09,29726.23046875,29366.509765625,29632.19921875,0.89
2007-04-10,29938.6796875,29515.640625,29515.640625,-0.39
2007-04-11,29572.94921875,29248.01953125,29278.75,-0.8
2007-04-12,29664.16015625,28990.490234375,29606.970703125,1.12
2007-04-13,29771.66015625,29556.66015625,29762.220703125,0.52
2007-04-16,30057.740234375,29606.55078125,29718.66015625,-0.15
