Date,High,Low,Adj Close,Change
2007-01-04,17379.4609375,17315.759765625,17353.669921875,0.0
2007-01-05,17327.130859375,17011.099609375,17091.58984375,-1.51
2007-01-09,17261.029296875,16983.970703125,17237.76953125,0.86
2007-01-10,17199.419921875,16847.5703125,16942.400390625,-1.71
2007-01-11,17057.44921875,16758.4609375,16838.169921875,-0.62
2007-01-12,17160.76953125,16941.390625,17057.009765625,1.3
2007-01-15,17273.580078125,17144.439453125,17209.919921875,0.9
2007-01-16,17287.9609375,17175.849609375,17202.4609375,-0.04
2007-01-17,17335.029296875,17002.669921875,17261.349609375,0.34
2007-01-18,17408.619140625,17220.419921875,17370.9296875,0.63
2007-01-19,17378.2109375,17242.76953125,17310.439453125,-0.35
2007-01-22,17484.58984375,17401.3203125,17424.1796875,0.66
2007-01-23,17442.0,17321.2890625,17408.5703125,-0.09
2007-01-24,17553.029296875,17498.359375,17507.400390625,0.57
2007-01-25,17617.640625,17427.5390625,17458.30078125,-0.28
2007-01-26,17421.9296875,17300.83984375,17421.9296875,-0.21
2007-01-29,17489.58984375,17319.369140625,17470.4609375,0.28
2007-01-30,17558.529296875,17452.630859375,17490.189453125,0.11
2007-01-31,17497.859375,17275.83984375,17383.419921875,-0.61
2007-02-01,17543.9609375,17361.009765625,17519.5,0.78
2007-02-02,17633.609375,17532.640625,17547.109375,0.16
2007-02-05,17531.41015625,17294.98046875,17344.80078125,-1.15
2007-02-06,17433.26953125,17345.099609375,17406.859375,0.36
2007-02-07,17374.8203125,17199.66015625,17292.3203125,-0.66
2007-02-08,17400.349609375,17212.779296875,17292.48046875,0.0
2007-02-09,17545.7109375,17274.890625,17504.330078125,1.23
2007-02-13,17628.029296875,17440.4296875,17621.44921875,0.67
2007-02-14,17789.919921875,17648.810546875,17752.640625,0.74
2007-02-15,17911.580078125,17815.169921875,17897.23046875,0.81
2007-02-16,17884.890625,17793.349609375,17875.650390625,-0.12
2007-02-19,17974.0,17810.05078125,17940.08984375,0.36
2007-02-20,17953.029296875,17828.94921875,17939.119140625,-0.01
2007-02-21,17968.259765625,17850.08984375,17913.2109375,-0.14
2007-02-22,18132.83984375,18024.48046875,18108.7890625,1.09
2007-02-23,18239.130859375,18046.419921875,18188.419921875,0.44
2007-02-26,18300.390625,18145.419921875,18215.349609375,0.15
2007-02-27,18272.6796875,18073.220703125,18119.919921875,-0.52
2007-02-28,17843.609375,17382.7890625,17604.119140625,-2.85
2007-03-01,17557.419921875,17261.599609375,17453.509765625,-0.86
2007-03-02,17356.44921875,17160.4296875,17217.9296875,-1.35
2007-03-05,16992.439453125,16532.91015625,16642.25,-3.34
2007-03-06,16882.919921875,16649.099609375,16844.5,1.22
2007-03-07,16988.009765625,16731.76953125,16764.619140625,-0.47
2007-03-08,17090.310546875,16685.94921875,17090.310546875,1.94
2007-03-09,17246.2109375,17100.740234375,17164.0390625,0.43
2007-03-12,17325.44921875,17206.939453125,17292.390625,0.75
2007-03-13,17299.48046875,17153.19921875,17178.83984375,-0.66
2007-03-14,16936.189453125,16628.849609375,16676.890625,-2.92
2007-03-15,16942.310546875,16760.6796875,16860.390625,1.1
2007-03-16,16939.4296875,16643.759765625,16744.150390625,-0.69
2007-03-19,17026.4609375,16713.990234375,17009.55078125,1.59
2007-03-20,17267.740234375,17146.529296875,17163.19921875,0.9
