Date,High,Low,Adj Close,Change
2007-01-03,3037.739990234375,3010.219970703125,3037.739990234375,0.0
2007-01-04,3045.179931640625,3008.22998046875,3023.800048828125,-0.46
2007-01-05,3038.27001953125,3000.5,3029.0400390625,0.17
2007-01-08,3008.27001953125,2992.330078125,3000.0,-0.96
2007-01-09,3019.89990234375,3002.139892578125,3008.35009765625,0.28
2007-01-10,2993.8701171875,2961.14990234375,2961.14990234375,-1.57
2007-01-11,2997.10009765625,2948.97998046875,2969.68994140625,0.29
2007-01-12,3009.090087890625,2993.419921875,3009.090087890625,1.33
2007-01-15,3035.580078125,3009.68994140625,3035.580078125,0.88
2007-01-16,3051.75,3034.7099609375,3038.2099609375,0.09
2007-01-17,3053.969970703125,3029.06005859375,3037.659912109375,-0.02
2007-01-18,3064.030029296875,3045.260009765625,3061.64990234375,0.79
2007-01-19,3081.909912109375,3051.4599609375,3072.8798828125,0.37
2007-01-22,3145.840087890625,3096.300048828125,3145.199951171875,2.35
2007-01-23,3142.72998046875,3124.260009765625,3132.89990234375,-0.39
2007-01-24,3164.3798828125,3140.5400390625,3150.239990234375,0.55
2007-01-25,3173.97998046875,3104.56005859375,3108.6298828125,-1.32
2007-01-26,3096.110107421875,3057.389892578125,3087.739990234375,-0.67
2007-01-29,3130.679931640625,3095.10009765625,3128.909912109375,1.33
2007-01-30,3145.39990234375,3118.3798828125,3130.260009765625,0.04
2007-01-31,3144.31005859375,3117.02001953125,3125.56005859375,-0.15
2007-02-01,3174.72998046875,3151.27001953125,3168.10009765625,1.36
2007-02-02,3234.610107421875,3192.169921875,3217.679931640625,1.56
2007-02-05,3245.60009765625,3217.22998046875,3223.320068359375,0.18
2007-02-06,3233.760009765625,3200.199951171875,3223.25,-0.0
2007-02-07,3248.02001953125,3220.47998046875,3236.60009765625,0.41
2007-02-08,3247.419921875,3206.300048828125,3217.760009765625,-0.58
2007-02-09,3236.830078125,3209.080078125,3220.889892578125,0.1
2007-02-12,3205.4599609375,3156.679931640625,3170.4599609375,-1.57
2007-02-13,3186.929931640625,3149.159912109375,3149.159912109375,-0.67
2007-02-14,3193.360107421875,3175.360107421875,3182.2099609375,1.05
2007-02-15,3252.489990234375,3214.659912109375,3252.489990234375,2.21
2007-02-16,3265.320068359375,3220.89990234375,3236.929931640625,-0.48
2007-02-21,3293.610107421875,3248.080078125,3293.610107421875,1.75
2007-02-22,3306.35009765625,3286.010009765625,3288.85009765625,-0.14
2007-02-23,3310.43994140625,3284.949951171875,3310.43994140625,0.66
2007-02-26,3316.219970703125,3300.02001953125,3307.919921875,-0.08
2007-02-27,3307.280029296875,3216.1201171875,3232.02001953125,-2.29
2007-02-28,3137.85009765625,3039.60009765625,3104.14990234375,-3.96
2007-03-01,3154.68994140625,3054.889892578125,3092.580078125,-0.37
2007-03-02,3105.159912109375,3058.169921875,3078.739990234375,-0.45
2007-03-05,3022.360107421875,2931.6298828125,2982.2900390625,-3.13
2007-03-06,3040.010009765625,2996.02001953125,3036.52001953125,1.82
2007-03-07,3102.4599609375,3049.5400390625,3059.14990234375,0.75
2007-03-08,3122.489990234375,3061.6298828125,3122.489990234375,2.07
2007-03-09,3154.110107421875,3127.489990234375,3143.7099609375,0.68
2007-03-12,3189.510009765625,3159.10009765625,3182.679931640625,1.24
2007-03-13,3191.43994140625,3143.320068359375,3158.89990234375,-0.75
2007-03-14,3088.0,3048.909912109375,3053.2099609375,-3.35
2007-03-15,3106.97998046875,3082.8701171875,3094.60009765625,1.36
2007-03-16,3089.8701171875,3061.110107421875,3068.75,-0.84
2007-03-19,3118.489990234375,3068.97998046875,3113.389892578125,1.45
2007-03-20,3156.969970703125,3116.669921875,3116.8798828125,0.11
2007-03-21,3157.14990234375,3126.35009765625,3155.68994140625,1.25
2007-03-22,3227.219970703125,3205.639892578125,3219.510009765625,2.02
2007-03-23,3224.56005859375,3200.7900390625,3205.820068359375,-0.43
2007-03-26,3222.090087890625,3191.580078125,3204.550048828125,-0.04
2007-03-27,3239.780029296875,3197.2099609375,3234.110107421875,0.92
2007-03-28,3224.89990234375,3189.18994140625,3201.75,-1.0
2007-03-29,3228.8798828125,3167.530029296875,3228.8798828125,0.85
2007-03-30,3250.860107421875,3220.050048828125,3231.239990234375,0.07
2007-04-02,3262.6298828125,3231.1201171875,3246.31005859375,0.47
2007-04-03,3299.2099609375,3262.3701171875,3288.360107421875,1.3
2007-04-04,3337.219970703125,3310.3701171875,3332.919921875,1.36
2007-04-05,3346.840087890625,3320.06005859375,3345.860107421875,0.39
2007-04-09,3400.6201171875,3373.75,3400.0,1.62
2007-04-10,3422.6201171875,3379.77001953125,3422.6201171875,0.67
2007-04-11,3452.840087890625,3402.31005859375,3420.6201171875,-0.06
2007-04-12,3410.530029296875,3369.43994140625,3372.68994140625,-1.4
2007-04-13,3397.06005859375,3351.320068359375,3373.590087890625,0.03
2007-04-16,3414.639892578125,3391.10009765625,3414.14990234375,1.2
2007-04-17,3448.68994140625,3405.580078125,3415.320068359375,0.03
2007-04-18,3438.7099609375,3396.699951171875,3400.409912109375,-0.44
2007-04-19,3384.14990234375,3291.280029296875,3291.280029296875,-3.21
2007-04-20,3360.669921875,3338.510009765625,3360.669921875,2.11
2007-04-23,3414.169921875,3378.7099609375,3388.47998046875,0.83
2007-04-24,3393.489990234375,3352.949951171875,3374.52001953125,-0.41
2007-04-25,3387.81005859375,3362.679931640625,3362.679931640625,-0.35
2007-04-26,3416.22998046875,3394.219970703125,3406.889892578125,1.31
2007-04-27,3404.929931640625,3372.510009765625,3398.60009765625,-0.24
2007-04-30,3393.050048828125,3352.1298828125,3361.2900390625,-1.1
2007-05-02,3417.81005859375,3381.2900390625,3417.81005859375,1.68
2007-05-03,3475.5400390625,3436.909912109375,3450.639892578125,0.96
2007-05-04,3500.199951171875,3466.27001953125,3485.760009765625,1.02
2007-05-07,3523.409912109375,3477.590087890625,3477.590087890625,-0.23
2007-05-08,3489.169921875,3431.159912109375,3439.2099609375,-1.1
2007-05-09,3458.639892578125,3409.320068359375,3452.719970703125,0.39
2007-05-10,3478.090087890625,3448.68994140625,3469.260009765625,0.48
2007-05-11,3466.8701171875,3417.030029296875,3446.919921875,-0.64
2007-05-14,3508.840087890625,3485.139892578125,3501.10009765625,1.57
2007-05-15,3497.81005859375,3456.449951171875,3475.080078125,-0.74
