Date,High,Low,Adj_Close,Change
2007-01-02,1013.0,1013.0,1013.0,0.0
2007-01-03,1016.0,1016.0,1016.0,0.3
2007-01-04,1018.0,1018.0,1018.0,0.2
2007-01-05,1021.0,1019.5,1021.0,0.29
2007-01-08,1033.5,1024.5,1035.0,1.37
2007-01-09,1042.0,1037.5,1039.0,0.39
2007-01-10,1037.0,1037.0,1037.0,-0.19
2007-01-11,1045.0,1045.0,1045.0,0.77
2007-01-12,1052.0,1052.0,1052.0,0.67
2007-01-16,1045.0,1045.0,1045.0,-0.67
2007-01-17,1041.0,1041.0,1041.0,-0.38
2007-01-18,1037.0,1037.0,1037.0,-0.38
2007-01-19,1036.0,1036.0,1036.0,-0.1
2007-01-22,1010.5,1010.5,1010.5,-2.46
2007-01-23,1032.0,1015.0,1027.0,1.63
2007-01-24,1030.5,1015.0,1017.5,-0.93
2007-01-25,1022.0,1011.5,1019.0,0.15
2007-01-26,1027.5,1018.5,1022.0,0.29
2007-01-29,1023.0,1016.5,1020.0,-0.2
2007-01-30,1023.0,1013.0,1015.0,-0.49
2007-01-31,1015.5,1005.0,1010.5,-0.44
2007-02-01,1018.0,1008.0,1013.0,0.25
2007-02-02,1015.0,1006.0,1013.0,0.0
2007-02-05,1017.5,1010.0,1012.0,-0.1
2007-02-06,1015.0,1010.0,1011.0,-0.1
2007-02-07,1023.0,1015.0,1017.0,0.59
2007-02-08,1016.0,1012.0,1015.5,-0.15
2007-02-09,1019.0,1010.0,1018.0,0.25
2007-02-12,1023.0,1013.5,1017.0,-0.1
2007-02-13,1015.0,1013.0,1015.0,-0.2
2007-02-14,1020.0,1009.0,1011.0,-0.39
2007-02-15,1010.5,997.5,998.0,-1.29
2007-02-16,1000.0,995.0,996.0,-0.2
2007-02-20,1005.0,994.0,998.0,0.2
2007-02-21,1047.5,998.0,1036.5,3.86
2007-02-22,1036.5,1025.0,1030.0,-0.63
2007-02-23,1034.5,1020.0,1018.5,-1.12
2007-02-26,1027.5,1018.0,1022.0,0.34
2007-02-27,1026.5,1003.5,1004.5,-1.71
2007-02-28,1021.0,1004.0,1022.0,1.74
2007-03-01,1029.0,1022.0,1032.0,0.98
2007-03-02,1030.0,1030.0,1030.0,-0.19
2007-03-05,1029.0,1029.0,1038.0,0.78
2007-03-06,1045.0,1045.0,1044.5,0.63
2007-03-07,1045.0,1040.5,1040.0,-0.43
2007-03-08,1037.0,1037.0,1037.0,-0.29
2007-03-09,1038.0,1038.0,1038.0,0.1
2007-03-12,1050.0,1050.0,1048.0,0.96
2007-03-13,1050.0,1050.0,1044.0,-0.38
2007-03-14,999.0,999.0,999.0,-4.31
2007-03-15,990.0,990.0,990.0,-0.9
2007-03-16,1003.0,1003.0,1003.0,1.31
2007-03-19,1007.0,1007.0,1007.0,0.4
2007-03-20,1010.0,1010.0,1010.0,0.3
2007-03-21,1003.0,1003.0,1003.0,-0.69
2007-03-22,1027.0,1013.0,1013.5,1.05
2007-03-23,1016.0,978.0,979.0,-3.4
2007-03-26,991.0,971.5,976.0,-0.31
2007-03-27,984.0,976.0,980.0,0.41
2007-03-28,1005.0,980.0,1005.0,2.55
2007-03-29,1016.0,1004.0,1014.5,0.95
2007-03-30,1024.0,1005.0,1008.0,-0.64
2007-04-02,1025.0,999.5,1022.0,1.39
2007-04-03,1028.0,1016.0,1017.0,-0.49
2007-04-04,1022.0,1017.5,1023.0,0.59
2007-04-05,1028.0,1026.0,1025.0,0.2
2007-04-09,1034.0,1021.0,1021.0,-0.39
2007-04-10,1025.0,1021.0,1022.5,0.15
2007-04-11,1023.0,1008.0,1009.0,-1.32
2007-04-12,1007.5,992.0,995.0,-1.39
2007-04-13,1020.0,995.0,1012.0,1.71
2007-04-16,1017.0,1008.0,1016.0,0.4
2007-04-17,1020.0,1005.0,1011.0,-0.49
2007-04-18,1015.0,1008.5,1011.0,0.0
2007-04-19,1011.0,1007.5,1007.0,-0.4
2007-04-20,1011.0,1002.5,1009.0,0.2
2007-04-23,1016.5,1002.0,1005.0,-0.4
2007-04-24,1005.0,976.0,996.0,-0.9
2007-04-25,1001.0,989.5,1000.0,0.4
2007-04-26,995.0,992.0,988.0,-1.2
2007-04-27,995.0,987.0,998.0,1.01
2007-04-30,996.0,993.0,995.0,-0.3
2007-05-01,999.0,999.0,999.0,0.4
2007-05-02,996.0,996.0,996.0,-0.3
2007-05-03,1008.0,1008.0,1008.0,1.2
2007-05-04,1033.5,1017.5,1045.0,3.67
2007-05-07,1033.0,1033.0,1045.0,0.0
2007-05-08,1035.0,1035.0,1026.0,-1.82
2007-05-09,1021.0,1021.0,1021.0,-0.49
2007-05-10,1017.0,1017.0,1017.0,-0.39
2007-05-11,1029.0,1029.0,1029.0,1.18
2007-05-14,1032.0,1032.0,1032.0,0.29
2007-05-15,1051.5,1044.0,1049.0,1.65
2007-05-16,1056.0,1046.5,1048.0,-0.1
2007-05-17,1052.0,1039.0,1041.5,-0.62
2007-05-18,1042.0,1009.0,1011.5,-2.88
2007-05-21,1033.0,1009.5,1032.5,2.08
2007-05-22,1032.0,1022.5,1025.5,-0.68
2007-05-23,1031.0,1025.0,1027.0,0.15
2007-05-24,1032.0,1021.5,1022.0,-0.49
2007-05-25,1024.0,1017.0,1021.0,-0.1
2007-05-29,1024.0,1014.0,1019.0,-0.2
2007-05-30,1026.0,1019.0,1022.0,0.29
2007-05-31,1027.0,1021.0,1021.0,-0.1
2007-06-01,1028.0,1019.0,1019.0,-0.2
2007-06-04,1021.0,1015.0,1016.0,-0.29
2007-06-05,1024.0,992.0,1019.0,0.3
2007-06-06,1020.0,1001.0,1011.0,-0.79
2007-06-07,1014.0,1005.0,1010.0,-0.1
2007-06-08,1010.0,1006.5,1008.5,-0.15
2007-06-11,1045.0,1010.0,1042.0,3.32
2007-06-12,1074.5,1034.5,1075.0,3.17
2007-06-13,1084.5,1070.0,1083.5,0.79
2007-06-14,1095.0,1072.5,1074.5,-0.83
2007-06-15,1080.5,1069.0,1072.0,-0.23
2007-06-18,1083.0,1061.0,1081.0,0.84
2007-06-19,1083.0,1064.5,1062.0,-1.76
2007-06-20,1078.5,1065.0,1076.0,1.32
2007-06-21,1079.5,1063.0,1065.0,-1.02
2007-06-22,1069.0,1060.0,1064.0,-0.09
2007-06-25,1065.5,1058.0,1060.0,-0.38
2007-06-26,1060.0,1024.5,1057.0,-0.28
2007-06-27,1057.0,1045.0,1052.0,-0.47
2007-06-28,1060.0,1050.0,1060.0,0.76
2007-06-29,1052.5,1035.0,1039.0,-1.98
2007-07-02,1036.0,1033.0,1033.0,-0.58
2007-07-03,1032.0,1025.0,1028.0,-0.48
2007-07-05,1030.0,1030.0,1030.0,0.19
2007-07-06,1032.0,1028.5,1031.0,0.1
2007-07-09,1032.0,1027.0,1032.0,0.1
2007-07-10,1015.0,1015.0,1015.0,-1.65
2007-07-11,1014.0,1014.0,1014.0,-0.1
2007-07-12,1025.0,1025.0,1025.0,1.08
2007-07-13,1015.0,1013.5,1013.0,-1.17
